isco,isco_title,level
2633,"Philosophers, historians and political scientists",4
2634,Psychologists,4
2635,Social work and counselling professionals,4
2636,Religious professionals,4
2641,Authors and related writers,4
2642,Journalists,4
2643,"Translators, interpreters and other linguists",4
2651,Visual artists,4
2652,"Musicians, singers and composers",4
2653,Dancers and choreographers,4
2654,"Film, stage and related directors and producers",4
2655,Actors,4
2656,"Announcers on radio, television and other media",4
2659,Creative and performing artists not elsewhere classified,4
3111,Chemical and physical science technicians,4
3112,Civil engineering technicians,4
3113,Electrical engineering technicians,4
3114,Electronics engineering technicians,4
3115,Mechanical engineering technicians,4
3116,Chemical engineering technicians,4
3117,Mining and metallurgical technicians,4
3118,Draughtspersons,4
3119,Physical and engineering science technicians not elsewhere classified,4
3121,Mining supervisors,4
3122,Manufacturing supervisors,4
3123,Construction supervisors,4
3131,Power production plant operators,4
3132,Incinerator and water treatment plant operators,4
3133,Chemical processing plant controllers,4
3134,Petroleum and natural gas refining plant operators,4
3135,Metal production process controllers,4
3139,Process control technicians not elsewhere classified,4
3141,Life science technicians (excluding medical),4
3142,Agricultural technicians,4
3143,Forestry technicians,4
3151,Ships' engineers,4
3152,Ships' deck officers and pilots,4
3153,Aircraft pilots and related associate professionals,4
3154,Air traffic controllers,4
3155,Air traffic safety electronics technicians,4
3211,Medical imaging and therapeutic equipment technicians,4
3212,Medical and pathology laboratory technicians,4
3213,Pharmaceutical technicians and assistants,4
3214,Medical and dental prosthetic technicians,4
3221,Nursing associate professionals,4
3222,Midwifery associate professionals,4
3230,Traditional and complementary medicine associate professionals,4
3240,Veterinary technicians and assistants,4
3251,Dental assistants and therapists,4
3252,Medical records and health information technicians,4
3253,Community health workers,4
3254,Dispensing opticians,4
3255,Physiotherapy technicians and assistants,4
3256,Medical assistants,4
3257,Environmental and occupational health inspectors and associates,4
3258,Ambulance workers,4
3259,Health associate professionals not elsewhere classified,4
3311,Securities and finance dealers and brokers,4
3312,Credit and loans officers,4
3313,Accounting associate professionals,4
3314,"Statistical, mathematical and related associate professionals",4
3315,Valuers and loss assessors,4
3321,Insurance representatives,4
3322,Commercial sales representatives,4
3323,Buyers,4
3324,Trade brokers,4
3331,Clearing and forwarding agents,4
3332,Conference and event planners,4
3333,Employment agents and contractors,4
3334,Real estate agents and property managers,4
3339,Business services agents not elsewhere classified,4
3341,Office supervisors,4
3342,Legal secretaries,4
3343,Administrative and executive secretaries,4
3344,Medical secretaries,4
3351,Customs and border inspectors,4
3352,Government tax and excise officials,4
3353,Government social benefits officials,4
3354,Government licensing officials,4
3355,Police inspectors and detectives,4
3359,Regulatory government associate professionals not elsewhere classified,4
3411,Legal and related associate professionals,4
3412,Social work associate professionals,4
3413,Religious associate professionals,4
3421,Athletes and sports players,4
3422,"Sports coaches, instructors and officials",4
3423,Fitness and recreation instructors and program leaders,4
3431,Photographers,4
3432,Interior designers and decorators,4
3433,"Gallery, museum and library technicians",4
3434,Chefs,4
3435,Other artistic and cultural associate professionals,4
3511,Information and communications technology operations technicians,4
3512,Information and communications technology user support technicians,4
3513,Computer network and systems technicians,4
3514,Web technicians,4
3521,Broadcasting and audio-visual technicians,4
3522,Telecommunications engineering technicians,4
4110,General office clerks,4
4120,Secretaries (general),4
4131,Typists and word processing operators,4
4132,Data entry clerks,4
4211,Bank tellers and related clerks,4
4212,"Bookmakers, croupiers and related gaming workers",4
4213,Pawnbrokers and money-lenders,4
4214,Debt-collectors and related workers,4
4221,Travel consultants and clerks,4
4222,Contact centre information clerks,4
4223,Telephone switchboard operators,4
4224,Hotel receptionists,4
4225,Enquiry clerks,4
4226,Receptionists (general),4
4227,Survey and market research interviewers,4
4229,Client information workers not elsewhere classified,4
4311,Accounting and bookkeeping clerks,4
4312,"Statistical, finance and insurance clerks",4
4313,Payroll clerks,4
4321,Stock clerks,4
4322,Production clerks,4
4323,Transport clerks,4
4411,Library clerks,4
4412,Mail carriers and sorting clerks,4
4413,"Coding, proof-reading and related clerks",4
4414,Scribes and related workers,4
4415,Filing and copying clerks,4
4416,Personnel clerks,4
4419,Clerical support workers not elsewhere classified,4
5111,Travel attendants and travel stewards,4
5112,Transport conductors,4
5113,Travel guides,4
5120,Cooks,4
5131,Waiters,4
5132,Bartenders,4
5141,Hairdressers,4
5142,Beauticians and related workers,4
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",4
5152,Domestic housekeepers,4
5153,Building caretakers,4
5161,"Astrologers, fortune-tellers and related workers",4
5162,Companions and valets,4
5163,Undertakers and embalmers,4
5164,Pet groomers and animal care workers,4
5165,Driving instructors,4
5169,Personal services workers not elsewhere classified,4
5211,Stall and market salespersons,4
5212,Street food salespersons,4
5221,Shop keepers,4
5222,Shop supervisors,4
5223,Shop sales assistants,4
5230,Cashiers and ticket clerks,4
5241,Fashion and other models,4
5242,Sales demonstrators,4
5243,Door to door salespersons,4
5244,Contact centre salespersons,4
5245,Service station attendants,4
5246,Food service counter attendants,4
5249,Sales workers not elsewhere classified,4
5311,Child care workers,4
5312,Teachers' aides,4
5321,Health care assistants,4
5322,Home-based personal care workers,4
5329,Personal care workers in health services not elsewhere classified,4
5411,Fire-fighters,4
5412,Police officers,4
5413,Prison guards,4
5414,Security guards,4
5419,Protective services workers not elsewhere classified,4
6111,Field crop and vegetable growers,4
6112,Tree and shrub crop growers,4
6113,"Gardeners, horticultural and nursery growers",4
6114,Mixed crop growers,4
6121,Livestock and dairy producers,4
6122,Poultry producers,4
6123,Apiarists and sericulturists,4
6129,Animal producers not elsewhere classified,4
6130,Mixed crop and animal producers,4
6210,Forestry and related workers,4
6221,Aquaculture workers,4
6222,Inland and coastal waters fishery workers,4
6223,Deep-sea fishery workers,4
6224,Hunters and trappers,4
6310,Subsistence crop farmers,4
6320,Subsistence livestock farmers,4
6330,Subsistence mixed crop and livestock farmers,4
6340,"Subsistence fishers, hunters, trappers and gatherers",4
7111,House builders,4
7112,Bricklayers and related workers,4
7113,"Stonemasons, stone cutters, splitters and carvers",4
7114,"Concrete placers, concrete finishers and related workers",4
7115,Carpenters and joiners,4
7119,Building frame and related trades workers not elsewhere classified,4
7121,Roofers,4
7122,Floor layers and tile setters,4
7123,Plasterers,4
7124,Insulation workers,4
7125,Glaziers,4
7126,Plumbers and pipe fitters,4
7127,Air conditioning and refrigeration mechanics,4
7131,Painters and related workers,4
7132,Spray painters and varnishers,4
7133,Building structure cleaners,4
7211,Metal moulders and coremakers,4
7212,Welders and flamecutters,4
7213,Sheet-metal workers,4
7214,Structural-metal preparers and erectors,4
7215,Riggers and cable splicers,4
7221,"Blacksmiths, hammersmiths and forging press workers",4
7222,Toolmakers and related workers,4
7223,Metal working machine tool setters and operators,4
7224,"Metal polishers, wheel grinders and tool sharpeners",4
7231,Motor vehicle mechanics and repairers,4
7232,Aircraft engine mechanics and repairers,4
7233,Agricultural and industrial machinery mechanics and repairers,4
7234,Bicycle and related repairers,4
7311,Precision-instrument makers and repairers,4
7312,Musical instrument makers and tuners,4
7313,Jewellery and precious-metal workers,4
7314,Potters and related workers,4
7315,"Glass makers, cutters, grinders and finishers",4
7316,"Sign writers, decorative painters, engravers and etchers",4
7317,"Handicraft workers in wood, basketry and related materials",4
7318,"Handicraft workers in textile, leather and related materials",4
7319,Handicraft workers not elsewhere classified,4
7321,Pre-press technicians,4
7322,Printers,4
7323,Print finishing and binding workers,4
7411,Building and related electricians,4
7412,Electrical mechanics and fitters,4
7413,Electrical line installers and repairers,4
7421,Electronics mechanics and servicers,4
7422,Information and communications technology installers and servicers,4
7511,"Butchers, fishmongers and related food preparers",4
7512,"Bakers, pastry-cooks and confectionery makers",4
7513,Dairy-products makers,4
7514,"Fruit, vegetable and related preservers",4
7515,Food and beverage tasters and graders,4
7516,Tobacco preparers and tobacco products makers,4
7521,Wood treaters,4
7522,Cabinet-makers and related workers,4
7523,Woodworking-machine tool setters and operators,4
7531,"Tailors, dressmakers, furriers and hatters",4
7532,Garment and related pattern-makers and cutters,4
