group_name,group_description,id
Science and Engineering Associate Professionals,Incinerator and Water Treatment Plant Operators,754
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,755
Information and Communications Technicians,Information and Communications Technology User Support Technicians,756
"Legal, Social, Cultural and Related Associate Professionals","Sports Coaches, Instructors and Officials",757
Stationary Plant and Machine Operators,Mineral and Stone Processing Plant Operators,758
Business and Administration Associate Professionals,Trade Brokers,759
Business and Administration Associate Professionals,Securities and Finance Dealers and Brokers,760
Business and Administration Associate Professionals,Clearing and Forwarding Agents,761
Sales Workers,Cashiers and Ticket Clerks,762
Science and Engineering Professionals,Civil Engineers,763
Science and Engineering Associate Professionals,Civil Engineering Technicians,764
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,765
Science and Engineering Associate Professionals,Draughtspersons,766
Personal Care Workers,Child Care Workers,767
Science and Engineering Professionals,"Biologists, Botanists, Zoologists and Related Professionals",768
Science and Engineering Professionals,"Mining Engineers, Metallurgists and Related Professionals",769
Business and Administration Professionals,Policy Administration Professionals,770
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Shoemakers and Related Workers,771
Sales Workers,Shop Sales Assistants,772
Science and Engineering Associate Professionals,Civil Engineering Technicians,773
"Legal, Social and Cultural Professionals",Legal Professionals Not Elsewhere Classified,774
"Chief Executives, Senior Officials and Legislators",Legislators,775
Science and Engineering Associate Professionals,Manufacturing Supervisors,776
Science and Engineering Professionals,"Mining Engineers, Metallurgists and Related Professionals",777
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,778
Stationary Plant and Machine Operators,Pulp and Papermaking Plant Operators,779
Business and Administration Professionals,Advertising and Marketing Professionals,780
Handicraft and Printing Workers,"Signwriters, Decorative Painters, Engravers and Etchers",781
Building and Related Trades Workers (excluding Electricians),Plasterers,782
Sales Workers,Service Station Attendants,783
Stationary Plant and Machine Operators,Well Drillers and Borers and Related Workers,784
Science and Engineering Associate Professionals,Civil Engineering Technicians,785
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,786
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Upholsterers and Related Workers,787
Administrative and Commercial Managers,Sales and Marketing Managers,788
Stationary Plant and Machine Operators,Miners and Quarriers,789
Drivers and Mobile Plant Operators,Earthmoving and Related Plant Operators,790
Business and Administration Associate Professionals,Employment Agents and Contractors,791
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",792
Business and Administration Associate Professionals,Administrative and Executive Secretaries,793
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,794
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,795
"Legal, Social and Cultural Professionals",Visual Artists,796
Building and Related Trades Workers (excluding Electricians),Building Structure Cleaners,797
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",798
Stationary Plant and Machine Operators,Wood Processing Plant Operators,799
Science and Engineering Associate Professionals,Manufacturing Supervisors,800
