group_name,group_description,id
Science and Engineering Professionals,Graphic and Multimedia Designers,0
Stationary Plant and Machine Operators,Metal Processing Plant Operators,1
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),2
Science and Engineering Associate Professionals,Air Traffic Safety Electronics Technicians,3
Business and Administration Professionals,Advertising and Marketing Professionals,4
Health Associate Professionals,Medical and Pathology Laboratory Technicians ,5
Science and Engineering Associate Professionals,Chemical Engineering Technicians,6
Personal Care Workers,Teachers’ Aides,7
Health Professionals,Physiotherapists ,8
Teaching Professionals,University and Higher Education Teachers,9
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,10
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,11
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,12
Sales Workers,Sales Workers Not Elsewhere Classified,13
Science and Engineering Professionals,Cartographers and Surveyors,14
Health Professionals,Environmental and Occupational Health and Hygiene Professionals,15
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,16
Drivers and Mobile Plant Operators,Bus and Tram Drivers,17
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",18
Business and Administration Professionals,Policy Administration Professionals,19
"Legal, Social, Cultural and Related Associate Professionals",Chefs,20
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,21
Production and Specialized Services Managers,Education Managers,22
Science and Engineering Associate Professionals,Construction Supervisors,23
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,24
Business and Administration Associate Professionals,Valuers and Loss Assessors,25
Administrative and Commercial Managers,Research and Development Managers,26
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,27
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,28
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,29
Handicraft and Printing Workers,"Handicraft Workers in Textile, Leather and Related Materials",30
Building and Related Trades Workers (excluding Electricians),Floor Layers and Tile Setters,31
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,32
Business and Administration Associate Professionals,Business Services Agents Not Elsewhere Classified,33
Market-oriented Skilled Agricultural Workers,Apiarists and Sericulturists,34
Business and Administration Associate Professionals,Legal Secretaries,35
Science and Engineering Associate Professionals,Petroleum and Natural Gas Refining Plant Operators,36
Stationary Plant and Machine Operators,Sewing Machine Operators,37
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",38
"Market-oriented Skilled Forestry, Fishery and Hunting Workers",Aquaculture Workers,39
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,40
"Hospitality, Retail and Other Services Managers",Hotel Managers,41
Handicraft and Printing Workers,"Signwriters, Decorative Painters, Engravers and Etchers",42
Science and Engineering Professionals,Telecommunications Engineers,43
Teaching Professionals,Special Needs Teachers,44
Production and Specialized Services Managers,Manufacturing Managers,45
Building and Related Trades Workers (excluding Electricians),Plumbers and Pipe Fitters,46
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",47
Teaching Professionals,Special Needs Teachers,48
"Hospitality, Retail and Other Services Managers","Sports, Recreation and Cultural Centre Managers",49
Production and Specialized Services Managers,Manufacturing Managers,50
Assemblers,Mechanical Machinery Assemblers,51
Science and Engineering Professionals,"Mining Engineers, Metallurgists and Related Professionals",52
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,53
Sales Workers,Shop Sales Assistants,54
Teaching Professionals,Primary School Teachers,55
Drivers and Mobile Plant Operators,Bus and Tram Drivers,56
Science and Engineering Associate Professionals,Manufacturing Supervisors,57
Numerical and Material Recording Clerks,Stock Clerks,58
Business and Administration Associate Professionals,Administrative and Executive Secretaries,59
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,60
Business and Administration Associate Professionals,Medical Secretaries,61
Information and Communications Technology Professionals,Database and Network Professionals Not Elsewhere Classified,62
Science and Engineering Associate Professionals,Construction Supervisors,63
Stationary Plant and Machine Operators,"Cement, Stone and Other Mineral Products Machine Operators",64
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,65
Administrative and Commercial Managers,Sales and Marketing Managers,66
Information and Communications Technology Professionals,Software Developers,67
Administrative and Commercial Managers,Finance Managers,68
Administrative and Commercial Managers,Business Services and Administration Managers Not Elsewhere Classified,69
Electrical and Electronics Trades Workers,Information and Communications Technology Installers and Servicers,70
Sales Workers,Sales Demonstrators,71
Teaching Professionals,Vocational Education Teachers,72
Business and Administration Associate Professionals,Securities and Finance Dealers and Brokers,73
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,74
Stationary Plant and Machine Operators,Wood Processing Plant Operators,75
Science and Engineering Associate Professionals,Construction Supervisors,76
Building and Related Trades Workers (excluding Electricians),Bricklayers and Related Workers,77
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Butchers, Fishmongers and Related Food Preparers",78
"Legal, Social and Cultural Professionals","Sociologists, Anthropologists and Related Professionals",79
Information and Communications Technicians,Broadcasting and Audiovisual Technicians,80
Sales Workers,Shop Sales Assistants,81
Production and Specialized Services Managers,Mining Managers,82
Science and Engineering Associate Professionals,Mining and Metallurgical Technicians,83
Stationary Plant and Machine Operators,"Fibre Preparing, Spinning and Winding Machine Operators",84
Building and Related Trades Workers (excluding Electricians),Floor Layers and Tile Setters,85
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,86
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Tobacco Preparers and Tobacco Products Makers,87
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",88
Business and Administration Professionals,Personnel and Careers Professionals,89
Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians",90
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,91
"Legal, Social and Cultural Professionals",Dancers and Choreographers,92
Electrical and Electronics Trades Workers,Electrical Mechanics and Fitters,93
Science and Engineering Professionals,Product and Garment Designers,94
Business and Administration Professionals,Personnel and Careers Professionals,95
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Patternmakers and Cutters,96
"Chief Executives, Senior Officials and Legislators",Senior Government Officials,97
Business and Administration Associate Professionals,Credit and Loans Officers,98
Science and Engineering Associate Professionals,Construction Supervisors,99
Business and Administration Professionals,Financial Analysts,100
"Legal, Social and Cultural Professionals",Dancers and Choreographers,101
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Shoemakers and Related Workers,102
"Legal, Social and Cultural Professionals",Judges,103
Science and Engineering Professionals,Product and Garment Designers,104
Handicraft and Printing Workers,Printers ,105
Information and Communications Technology Professionals,Systems Analysts,106
Science and Engineering Professionals,Meteorologists,107
"Legal, Social and Cultural Professionals",Creative and Performing Artists Not Elsewhere Classified,108
"Hospitality, Retail and Other Services Managers","Sports, Recreation and Cultural Centre Managers",109
"Legal, Social, Cultural and Related Associate Professionals",Athletes and Sports Players,110
Health Professionals,Veterinarians,111
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,112
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,113
"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,114
Information and Communications Technology Professionals,Web and Multimedia Developers,115
Building and Related Trades Workers (excluding Electricians),Plumbers and Pipe Fitters,116
Business and Administration Associate Professionals,Buyers,117
Teaching Professionals,University and Higher Education Teachers,118
Sales Workers,Shop Sales Assistants,119
Personal Services Workers,Hairdressers,120
"Legal, Social and Cultural Professionals",Visual Artists,121
"Legal, Social and Cultural Professionals","Announcers on Radio, Television and Other Media",122
"Legal, Social, Cultural and Related Associate Professionals","Sports Coaches, Instructors and Officials",123
Science and Engineering Associate Professionals,Civil Engineering Technicians,124
General and Keyboard Clerks,General Office Clerks,125
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Shoemakers and Related Workers,126
Personal Care Workers,Child Care Workers,127
Business and Administration Associate Professionals,Trade Brokers,128
"Metal, Machinery and Related Trades Workers",Structural Metal Preparers and Erectors,129
Handicraft and Printing Workers,Musical Instrument Makers and Tuners,130
Stationary Plant and Machine Operators,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified",131
Information and Communications Technology Professionals,Software and Applications Developers and Analysts Not Elsewhere Classified,132
"Metal, Machinery and Related Trades Workers","Blacksmiths, Hammersmiths and Forging Press Workers",133
Stationary Plant and Machine Operators,Paper Products Machine Operators,134
Health Associate Professionals,Physiotherapy Technicians and Assistants,135
"Metal, Machinery and Related Trades Workers",Aircraft Engine Mechanics and Repairers,136
"Legal, Social, Cultural and Related Associate Professionals","Sports Coaches, Instructors and Officials",137
Personal Services Workers,Pet Groomers and Animal Care Workers,138
Sales Workers,Shop Sales Assistants,139
"Chief Executives, Senior Officials and Legislators",Commissioned Armed Forces Officers,140
Health Associate Professionals,Physiotherapy Technicians and Assistants,141
Health Associate Professionals,Ambulance Workers,142
Building and Related Trades Workers (excluding Electricians),Carpenters and Joiners,143
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,144
Business and Administration Professionals,Training and Staff Development Professionals,145
Science and Engineering Professionals,Mechanical Engineers,146
Teaching Professionals,University and Higher Education Teachers,147
Customer Services Clerks,Telephone Switchboard Operators,148
Health Associate Professionals,Medical Assistants,149
Electrical and Electronics Trades Workers,Electrical Line Installers and Repairers ,150
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,151
Drivers and Mobile Plant Operators,"Car, Taxi and Van Drivers",152
Information and Communications Technology Professionals,Database and Network Professionals Not Elsewhere Classified,153
Science and Engineering Professionals,Electronics Engineers,154
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,155
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",156
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,157
Numerical and Material Recording Clerks,Transport Clerks,158
"Legal, Social and Cultural Professionals","Philosophers, Historians and Political Scientists",159
Information and Communications Technology Professionals,Database and Network Professionals Not Elsewhere Classified,160
Production and Specialized Services Managers,Manufacturing Managers,161
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,162
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",163
Teaching Professionals,Secondary Education Teachers,164
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,165
"Market-oriented Skilled Forestry, Fishery and Hunting Workers",Aquaculture Workers,166
Science and Engineering Associate Professionals,Chemical and Physical Science Technicians,167
Science and Engineering Professionals,Chemists,168
Sales Workers,Shop Sales Assistants,169
Information and Communications Technicians,Broadcasting and Audiovisual Technicians,170
Stationary Plant and Machine Operators,Laundry Machine Operators,171
Science and Engineering Associate Professionals,Life Science Technicians (excluding Medical),172
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,173
"Legal, Social and Cultural Professionals","Announcers on Radio, Television and Other Media",174
Science and Engineering Associate Professionals,Construction Supervisors,175
Administrative and Commercial Managers,Sales and Marketing Managers,176
Business and Administration Associate Professionals,Office Supervisors,177
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,178
"Legal, Social and Cultural Professionals","Musicians, Singers and Composers",179
Science and Engineering Associate Professionals,Manufacturing Supervisors,180
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,181
Science and Engineering Associate Professionals,Electronics Engineering Technicians,182
Drivers and Mobile Plant Operators,"Crane, Hoist and Related Plant Operators",183
"Metal, Machinery and Related Trades Workers",Motor Vehicle Mechanics and Repairers,184
Business and Administration Professionals,Financial and Investment Advisers,185
Sales Workers,Contact Centre Salespersons,186
Market-oriented Skilled Agricultural Workers,Animal Producers Not Elsewhere Classified,187
"Chief Executives, Senior Officials and Legislators",Legislators,188
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,189
"Legal, Social and Cultural Professionals",Religious Professionals,190
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,191
Business and Administration Associate Professionals,Real Estate Agents and Property Managers,192
Science and Engineering Associate Professionals,Civil Engineering Technicians,193
"Legal, Social, Cultural and Related Associate Professionals",Legal and Related Associate Professionals,194
Science and Engineering Professionals,Product and Garment Designers,195
Health Professionals,Pharmacists,196
Building and Related Trades Workers (excluding Electricians),Plumbers and Pipe Fitters,197
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,198
Stationary Plant and Machine Operators,Rubber Products Machine Operators,199
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,200
"Legal, Social, Cultural and Related Associate Professionals",Chefs,201
Science and Engineering Professionals,"Biologists, Botanists, Zoologists and Related Professionals",202
Information and Communications Technology Professionals,Software and Applications Developers and Analysts Not Elsewhere Classified,203
Handicraft and Printing Workers,Jewellery and Precious Metal Workers,204
Teaching Professionals,Special Needs Teachers,205
Information and Communications Technology Professionals,Systems Analysts,206
Information and Communications Technology Professionals,Software and Applications Developers and Analysts Not Elsewhere Classified,207
Stationary Plant and Machine Operators,"Fibre Preparing, Spinning and Winding Machine Operators",208
Production and Specialized Services Managers,Mining Managers,209
Health Associate Professionals,Dispensing Opticians,210
Teaching Professionals,University and Higher Education Teachers,211
Administrative and Commercial Managers,Business Services and Administration Managers Not Elsewhere Classified,212
Sales Workers,Shop Sales Assistants,213
Teaching Professionals,Special Needs Teachers,214
Business and Administration Professionals,Technical and Medical Sales Professionals (excluding ICT),215
"Legal, Social, Cultural and Related Associate Professionals","Sports Coaches, Instructors and Officials",216
Teaching Professionals,University and Higher Education Teachers,217
Science and Engineering Professionals,Graphic and Multimedia Designers,218
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,219
Personal Services Workers,Travel Guides,220
Health Professionals,Health Professionals Not Elsewhere Classified,221
Science and Engineering Professionals,Chemists,222
Science and Engineering Professionals,Environmental Protection Professionals,223
"Legal, Social and Cultural Professionals","Sociologists, Anthropologists and Related Professionals",224
Personal Services Workers,Cooks,225
Handicraft and Printing Workers,Precision-instrument Makers and Repairers,226
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,227
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",228
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,229
Stationary Plant and Machine Operators,Rubber Products Machine Operators,230
"Metal, Machinery and Related Trades Workers",Metal Moulders and Coremakers,231
Information and Communications Technicians,Information and Communications Technology User Support Technicians,232
Sales Workers,Shop Sales Assistants,233
Science and Engineering Associate Professionals,Power Production Plant Operators,234
Protective Services Workers,Protective Services Workers Not Elsewhere Classified,235
"Metal, Machinery and Related Trades Workers",Toolmakers and Related Workers,236
Drivers and Mobile Plant Operators,"Railway Brake, Signal and Switch Operators",237
"Legal, Social and Cultural Professionals",Economists,238
Administrative and Commercial Managers,Business Services and Administration Managers Not Elsewhere Classified,239
Science and Engineering Associate Professionals,Civil Engineering Technicians,240
Business and Administration Professionals,Public Relations Professionals,241
Business and Administration Professionals,Public Relations Professionals,242
Personal Care Workers,Home-based Personal Care Workers,243
Science and Engineering Associate Professionals,Manufacturing Supervisors,244
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",245
Customer Services Clerks,Inquiry Clerks,246
"Legal, Social and Cultural Professionals","Musicians, Singers and Composers",247
Sales Workers,Shop Sales Assistants,248
Production and Specialized Services Managers,Education Managers,249
Business and Administration Associate Professionals,Commercial Sales Representatives,250
Assemblers,Electrical and Electronic Equipment Assemblers,251
Numerical and Material Recording Clerks,Stock Clerks,252
"Hospitality, Retail and Other Services Managers","Sports, Recreation and Cultural Centre Managers",253
Administrative and Commercial Managers,Research and Development Managers,254
Handicraft and Printing Workers,Potters and Related Workers,255
Health Associate Professionals,Medical Records and Health Information Technicians,256
Market-oriented Skilled Agricultural Workers,Livestock and Dairy Producers,257
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Shoemakers and Related Workers,258
Stationary Plant and Machine Operators,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified",259
Building and Related Trades Workers (excluding Electricians),Painters and Related Workers,260
Information and Communications Technology Professionals,Database Designers and Administrators,261
"Metal, Machinery and Related Trades Workers",Motor Vehicle Mechanics and Repairers,262
Cleaners and Helpers,Hand Launderers and Pressers,263
Health Associate Professionals,Veterinary Technicians and Assistants,264
Handicraft and Printing Workers,Precision-instrument Makers and Repairers,265
Personal Services Workers,Pet Groomers and Animal Care Workers,266
Business and Administration Associate Professionals,"Statistical, Mathematical and Related Associate Professionals",267
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,268
Business and Administration Professionals,Information and Communications Technology Sales Professionals,269
Administrative and Commercial Managers,Sales and Marketing Managers,270
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,271
Stationary Plant and Machine Operators,Shoemaking and Related Machine Operators,272
Science and Engineering Associate Professionals,Power Production Plant Operators,273
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,274
Science and Engineering Associate Professionals,Manufacturing Supervisors,275
Science and Engineering Professionals,Mechanical Engineers,276
Stationary Plant and Machine Operators,Shoemaking and Related Machine Operators,277
Health Associate Professionals,Health Associate Professionals Not Elsewhere Classified,278
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,279
Science and Engineering Professionals,"Biologists, Botanists, Zoologists and Related Professionals",280
Business and Administration Associate Professionals,Trade Brokers,281
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",282
Drivers and Mobile Plant Operators,Mobile Farm and Forestry Plant Operators,283
Science and Engineering Professionals,Geologists and Geophysicists,284
Stationary Plant and Machine Operators,"Packing, Bottling and Labelling Machine Operators",285
"Metal, Machinery and Related Trades Workers",Welders and Flame Cutters,286
Assemblers,Electrical and Electronic Equipment Assemblers,287
Teaching Professionals,Vocational Education Teachers,288
Personal Services Workers,Building Caretakers,289
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Patternmakers and Cutters,290
Assemblers,Assemblers Not Elsewhere Classified,291
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,292
Science and Engineering Associate Professionals,Chemical and Physical Science Technicians,293
Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians",294
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,295
Numerical and Material Recording Clerks,Production Clerks,296
"Legal, Social and Cultural Professionals",Dancers and Choreographers,297
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,298
Stationary Plant and Machine Operators,Weaving and Knitting Machine Operators,299
Science and Engineering Associate Professionals,Construction Supervisors,300
Business and Administration Professionals,Financial Analysts,301
Drivers and Mobile Plant Operators,Ships’ Deck Crews and Related Workers,302
Health Professionals,Nursing Professionals,303
Building and Related Trades Workers (excluding Electricians),Building Frame and Related Trades Workers Not Elsewhere Classified,304
Science and Engineering Associate Professionals,Construction Supervisors,305
"Chief Executives, Senior Officials and Legislators",Senior Government Officials,306
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Patternmakers and Cutters,307
Personal Services Workers,Beauticians and Related Workers,308
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,309
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,310
Handicraft and Printing Workers,Musical Instrument Makers and Tuners,311
"Metal, Machinery and Related Trades Workers",Riggers and Cable Splicers,312
"Legal, Social and Cultural Professionals","Sociologists, Anthropologists and Related Professionals",313
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,314
"Legal, Social and Cultural Professionals","Translators, Interpreters and Other Linguists",315
"Metal, Machinery and Related Trades Workers",Sheet Metal Workers,316
Business and Administration Professionals,Policy Administration Professionals,317
Assemblers,Mechanical Machinery Assemblers,318
Science and Engineering Professionals,Graphic and Multimedia Designers,319
Business and Administration Associate Professionals,Credit and Loans Officers,320
Cleaners and Helpers,"Cleaners and Helpers in Offices, Hotels and Other Establishments",321
Handicraft and Printing Workers,Precision-instrument Makers and Repairers,322
Market-oriented Skilled Agricultural Workers,Gardeners; Horticultural and Nursery Growers,323
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,324
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Bakers, Pastry-cooks and Confectionery Makers",325
Science and Engineering Associate Professionals,Incinerator and Water Treatment Plant Operators,326
Teaching Professionals,Secondary Education Teachers,327
Business and Administration Professionals,Accountants,328
Customer Services Clerks,Client Information Workers Not Elsewhere Classified,329
Science and Engineering Professionals,Chemists,330
Business and Administration Associate Professionals,Conference and Event Planners,331
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,332
Health Associate Professionals,Environmental and Occupational Health Inspectors and Associates,333
Science and Engineering Associate Professionals,Incinerator and Water Treatment Plant Operators,334
Stationary Plant and Machine Operators,Shoemaking and Related Machine Operators,335
Market-oriented Skilled Agricultural Workers,Mixed Crop Growers,336
Stationary Plant and Machine Operators,"Bleaching, Dyeing and Fabric Cleaning Machine Operators",337
Drivers and Mobile Plant Operators,Mobile Farm and Forestry Plant Operators,338
Science and Engineering Professionals,Graphic and Multimedia Designers,339
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,340
Drivers and Mobile Plant Operators,Heavy Truck and Lorry Drivers,341
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,342
Teaching Professionals,University and Higher Education Teachers,343
Drivers and Mobile Plant Operators,Earthmoving and Related Plant Operators,344
Science and Engineering Professionals,Civil Engineers,345
Market-oriented Skilled Agricultural Workers,Mixed Crop and Animal Producers,346
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),347
Science and Engineering Professionals,Mechanical Engineers,348
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",349
Science and Engineering Professionals,Meteorologists,350
"Hospitality, Retail and Other Services Managers","Sports, Recreation and Cultural Centre Managers",351
Science and Engineering Associate Professionals,Draughtspersons,352
Protective Services Workers,Firefighters,353
Stationary Plant and Machine Operators,Fur and Leather Preparing Machine Operators,354
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Shoemakers and Related Workers,355
Electrical and Electronics Trades Workers,Electronics Mechanics and Servicers,356
"Legal, Social and Cultural Professionals",Creative and Performing Artists Not Elsewhere Classified,357
Business and Administration Associate Professionals,Administrative and Executive Secretaries,358
Handicraft and Printing Workers,Handicraft Workers Not Elsewhere Classified,359
Health Professionals,Environmental and Occupational Health and Hygiene Professionals,360
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,361
Science and Engineering Professionals,Product and Garment Designers,362
Business and Administration Associate Professionals,Business Services Agents Not Elsewhere Classified,363
Administrative and Commercial Managers,Sales and Marketing Managers,364
Science and Engineering Professionals,Non-commissioned Armed Forces Officers,365
Drivers and Mobile Plant Operators,"Crane, Hoist and Related Plant Operators",366
Science and Engineering Associate Professionals,Draughtspersons,367
Business and Administration Professionals,Financial Analysts,368
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,369
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,370
Science and Engineering Associate Professionals,Construction Supervisors,371
Drivers and Mobile Plant Operators,Heavy Truck and Lorry Drivers,372
Teaching Professionals,Other Arts Teachers,373
Personal Services Workers,Pet Groomers and Animal Care Workers,374
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",375
Personal Care Workers,Teachers’ Aides,376
Refuse Workers and Other Elementary Workers,Elementary Workers Not Elsewhere Classified,377
Drivers and Mobile Plant Operators,"Crane, Hoist and Related Plant Operators",378
Business and Administration Associate Professionals,Securities and Finance Dealers and Brokers,379
Cleaners and Helpers,Other Cleaning Workers,380
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,381
Numerical and Material Recording Clerks,"Statistical, Finance and Insurance Clerks",382
Science and Engineering Associate Professionals,Agricultural Technicians,383
Production and Specialized Services Managers,Manufacturing Managers,384
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,385
Science and Engineering Professionals,Mechanical Engineers,386
"Chief Executives, Senior Officials and Legislators",Senior Government Officials,387
Market-oriented Skilled Agricultural Workers,Tree and Shrub Crop Growers,388
Science and Engineering Associate Professionals,Ships’ Deck Officers and Pilots,389
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,390
Science and Engineering Professionals,Electrical Engineers,391
Science and Engineering Associate Professionals,Manufacturing Supervisors,392
"Legal, Social and Cultural Professionals","Sociologists, Anthropologists and Related Professionals",393
Business and Administration Associate Professionals,Business Services Agents Not Elsewhere Classified,394
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Underwater Divers,395
"Agricultural, Forestry and Fishery Labourers",Fishery and Aquaculture Labourers,396
Business and Administration Professionals,Management and Organization Analysts,397
Stationary Plant and Machine Operators,Shoemaking and Related Machine Operators,398
Business and Administration Professionals,Personnel and Careers Professionals,399
Science and Engineering Associate Professionals,Construction Supervisors,400
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,401
Market-oriented Skilled Agricultural Workers,Tree and Shrub Crop Growers,402
Building and Related Trades Workers (excluding Electricians),Glaziers,403
Personal Services Workers,Domestic Housekeepers,404
Science and Engineering Associate Professionals,Petroleum and Natural Gas Refining Plant Operators,405
Stationary Plant and Machine Operators,Wood Processing Plant Operators,406
Business and Administration Professionals,Management and Organization Analysts,407
Drivers and Mobile Plant Operators,"Railway Brake, Signal and Switch Operators",408
Stationary Plant and Machine Operators,Fur and Leather Preparing Machine Operators,409
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,410
Business and Administration Associate Professionals,Business Services Agents Not Elsewhere Classified,411
Business and Administration Professionals,Advertising and Marketing Professionals,412
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Fumigators and Other Pest and Weed Controllers,413
Business and Administration Professionals,Financial and Investment Advisers,414
Teaching Professionals,Teaching Professionals Not Elsewhere Classified,415
"Labourers in Mining, Construction, Manufacturing and Transport",Civil Engineering Labourers,416
Stationary Plant and Machine Operators,"Bleaching, Dyeing and Fabric Cleaning Machine Operators",417
Assemblers,Assemblers Not Elsewhere Classified,418
"Legal, Social and Cultural Professionals",Creative and Performing Artists Not Elsewhere Classified,419
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),420
Information and Communications Technology Professionals,Systems Analysts,421
General and Keyboard Clerks,Typists and Word Processing Operators,422
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,423
Business and Administration Associate Professionals,Valuers and Loss Assessors,424
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,425
Science and Engineering Associate Professionals,Chemical Processing Plant Controllers,426
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,427
Information and Communications Technicians,Broadcasting and Audiovisual Technicians,428
Science and Engineering Associate Professionals,Mining Supervisors,429
Science and Engineering Associate Professionals,Civil Engineering Technicians,430
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",431
Cleaners and Helpers,"Cleaners and Helpers in Offices, Hotels and Other Establishments",432
Handicraft and Printing Workers,Pre-press Technicians,433
"Legal, Social and Cultural Professionals","Translators, Interpreters and Other Linguists",434
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,435
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,436
Teaching Professionals,Teaching Professionals Not Elsewhere Classified,437
Science and Engineering Professionals,Electronics Engineers,438
Stationary Plant and Machine Operators,Rubber Products Machine Operators,439
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",440
"Market-oriented Skilled Forestry, Fishery and Hunting Workers",Deep-sea Fishery Workers,441
Business and Administration Professionals,Financial and Investment Advisers,442
