id,concept_type,concept_uri,preferred_label,isco_level_1,isco_level_2,isco_level_3,isco_level_4,is_top_level,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,total_paid_hours,employment_count,employment_share,risk,prevalence,risk_category,onet_code,onet_occupation,level_1,level_2,skills_based_sector_code,sub_sector_code,skills_based_sector,sub_sector,remote_labor_index,physical_proximity,exposure_score
1745,Occupation,http://data.europa.eu/esco/occupation/934c3572-37f4-4cdd-a4a4-017f5f7809e4,investment fund management assistant,2,24,241,2412,False,4.0,6.5707,7.1071,5.8566,34270.94042553192,35.377857142857145,,,3.4028501011122336,0.4417340748230536,Other,13-2052.00,personal financial advisors,1,7,2,2.2,business & administration workers,accounting & financial services workers,0.846153846,0.365,0.2369680278223204
1746,Occupation,http://data.europa.eu/esco/occupation/9358775a-3769-4327-bf25-6c0d9d69d192,travel agency manager,1,14,143,1439,True,4.0,6.0442,7.9566,4.0001,36848.02680965148,35.82440408626561,60376.0,0.0018778525100076767,3.597477026583524,0.5447981621266819,Other,11-2022.00,sales managers,2,13,3,3.3,sales & services workers,shop & services managers,0.75,0.4775,0.34550687402713137
1747,Occupation,http://data.europa.eu/esco/occupation/9388a977-6f79-4509-81aa-026bc49e1919,canning and bottling line operator,8,81,818,8183,True,2.0,1.9021,3.7702,2.6639999999999997,19732.103773584906,37.05104895104895,1542.0,4.795027401778359e-05,3.4359154929577453,0.4751990202082057,Other,51-9111.00,packaging and filling machine operators and tenders,8,36,9,9.2,food & tobacco production workers,food & tobacco production operators,0.0,0.5925,0.7697402159170327
1748,Occupation,http://data.europa.eu/esco/occupation/939e05ea-2589-4e3c-a501-eea2bdd6864a,weaving machine operator,8,81,815,8152,True,2.0,2.023,2.9116,3.2023,31169.327160493827,41.53138297872341,1883.0,5.857536386501918e-05,3.5381869876457683,0.6986491167301697,Other,51-6063.00,"textile knitting and weaving machine setters, operators, and tenders",7,33,8,8.2,"textile, clothing, leather & footwear manufacturing workers",textile workers,0.176470588,0.4425,0.6036652754714321
1749,Occupation,http://data.europa.eu/esco/occupation/93a8bd5f-c268-46f5-8461-1138a9a96189,drop forging hammer worker,7,72,722,7221,True,2.0,1.8230000000000002,3.8068,4.482199999999999,23965.12,40.417073170731705,3643.0,0.00011329285651164766,3.4990664761202286,0.8530333763599485,Other,51-4022.00,"forging machine setters, operators, and tenders, metal and plastic",3,16,4,4.1,manufacturing workers,metal workers & machine operators,0.230769231,0.65,0.7071067810804815
1750,Occupation,http://data.europa.eu/esco/occupation/93aa611c-a58c-43ff-bc34-6e201dfdd0dd,footwear patternmaker,7,75,753,7536,False,2.0,2.4969,3.3299000000000003,3.5931,21910.066666666666,39.21166666666667,,,3.4871085927544136,0.6401784088840339,Other,51-6041.00,shoe and leather workers and repairers,7,32,8,8.1,"textile, clothing, leather & footwear manufacturing workers",shoe & leather manufacturing workers,0.25,0.55,0.6422616289332564
1751,Occupation,http://data.europa.eu/esco/occupation/93b11f0f-69af-4ece-b9da-f29aab7d38d3,container equipment design engineer,2,21,214,2144,False,4.0,5.8789,7.3698,3.9496,34707.347469220236,40.44157043879907,,,3.5510551493594176,0.5266278035767217,Other,17-2141.00,mechanical engineers,4,22,5,5.3,engineers & researchers,"mechanical engineers, designers & drafters",0.6122448979999999,0.5825,0.4752550335504087
1752,Occupation,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,animal facility manager,1,11,112,1120,True,4.0,4.916,8.1054,4.019,42898.18217562254,33.79836257309941,29679.0,0.0009230933165263312,3.4729286781977367,0.2339846252402307,Other,11-1021.00,general and operations managers,1,6,2,2.1,business & administration workers,"process managers, supervisors & coordinators",0.705882353,0.5525,0.40311288737461615
1753,Occupation,http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,transport planner,2,21,216,2164,True,4.0,6.5,5.7914,4.458500000000001,28593.03846153846,35.32398190045249,9452.0,0.00029397435918569704,3.5282096501128675,0.5266647855530474,Other,19-3099.01,transportation planners,4,20,5,5.1,engineers & researchers,researchers & science technicians,0.916666667,0.4175,0.18652524367361112
1754,Occupation,http://data.europa.eu/esco/occupation/93f61216-b9c8-4051-bb1e-32839c1566c1,hairdressing vocational teacher,2,23,232,2320,False,3.0,5.252000000000002,8.2972,3.8284,27240.768115942028,26.248387096774195,,,3.5671906154459663,0.4946165093712616,Other,25-1194.00,"vocational education teachers, postsecondary",6,28,7,7.1,education workers,instructors & vocational teachers,0.7333333329999999,0.7575000000000001,0.4494441013657873
1755,Occupation,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b,insurance claims manager,1,13,134,1346,True,4.0,5.44,7.847299999999999,3.7372,50811.69105691057,35.05169946332737,9532.0,0.0002964630178033248,3.5490633866391543,0.2931390250193449,High risk,11-3031.02,"financial managers, branch or department",1,7,2,2.2,business & administration workers,accounting & financial services workers,0.75,0.525,0.36228441865473604
1756,Occupation,http://data.europa.eu/esco/occupation/9422c30d-c5ef-4fcc-a493-d67ee42189c0,marine electrician,7,74,741,7412,True,3.0,3.4833,6.786999999999999,4.5135,32003.736923076918,41.7291777188329,20034.0,0.0006231112045057253,3.4618980922829388,0.9375969660403376,Other,49-2093.00,"electrical and electronics installers and repairers, transportation equipment",0,0,1,1.1,"technicians, construction, transport & security workers",engineering technicians,0.176470588,0.5375,0.6653172618758663
1757,Occupation,http://data.europa.eu/esco/occupation/9487f835-b5a9-4742-8ecf-35520911e28c,massage therapist,3,32,325,3255,True,3.0,3.0667,3.2334,1.9333,18089.67231638418,30.988344988344988,5852.0,0.0001820144891522284,2.7804746617748224,1.0,Low risk,31-9011.00,massage therapists,10,43,11,11.3,healthcare workers,naturopathic & physical therapists,0.28571428600000004,0.8875,0.7961963144696161
1758,Occupation,http://data.europa.eu/esco/occupation/949ab84f-5d76-4139-a568-45691b7ebc53,equality and inclusion manager,1,12,121,1212,False,4.0,6.3051,8.2508,3.1247,45259.0,35.4,,,3.431679382841641,0.4683621566632757,Other,11-3121.00,human resources managers,1,9,2,2.4,business & administration workers,business managers,0.772727273,0.405,0.303389937926425
1759,Occupation,http://data.europa.eu/esco/occupation/949bccd9-e1d2-4c57-b787-53b451aa1354,wicker furniture maker,7,73,731,7317,True,2.0,1.6770999999999998,5.5099,4.2003,23833.75,38.83500000000001,2046.0,6.36451146858395e-05,3.3538456524573066,0.8390040411941075,Low risk,51-7021.00,furniture finishers,3,18,4,4.3,manufacturing workers,craftspersons & carpenters,0.307692308,0.5425,0.6128433102433279
1760,Occupation,http://data.europa.eu/esco/occupation/949ed945-f697-415e-b4c5-51d8abf7cfdf,nanoengineer,2,21,214,2149,False,4.0,7.3071,6.256399999999998,4.0772,35911.871607515655,38.50286995515695,,,3.4508462811682414,0.5697581291045972,Other,17-2131.00,materials engineers,4,21,5,5.2,engineers & researchers,various engineers & architects,0.55,0.4475,0.4487482590495477
1761,Occupation,http://data.europa.eu/esco/occupation/949f1dc9-fb19-4212-8ac6-35ce83c88921,prompter,3,34,343,3435,True,,,,,19027.489776951672,29.200805270863828,8667.0,0.00026956601551041863,,,,27-2099.00,"entertainers and performers, sports and related workers, all other",5,26,6,6.4,arts & media workers,perfomers,,0.0,
1762,Occupation,http://data.europa.eu/esco/occupation/94adbb11-1c90-4092-ae91-781e8a55865d,shipbroker,3,33,332,3324,False,4.0,5.1091,6.5497000000000005,3.5405,38128.94894561598,36.6957603686636,,,3.562178205448637,0.050737315671082216,High risk,41-3031.03,securities and commodities traders,2,15,3,3.5,sales & services workers,wholesale merchants,0.818181818,0.665,0.3477198456085013
